bm25core,tes,ov,useful
26.72075923,0.602739726,0.5,no
23.05431324,0.821917808,0.722222222,yes
18.32988113,0.684931507,0.444444444,no
18.32988113,0.684931507,0.444444444,no
17.99564863,0.602739726,0.5,no
17.9890332,0.684931507,0.444444444,no
17.66063013,0.575342466,0.333333333,no
17.60676025,0.767123288,0.666666667,no
16.97871821,0.753424658,0.722222222,no
15.39176385,0.671232877,0.555555556,no
15.22623457,0.547945205,0.444444444,no
14.2109803,0.794520548,0.611111111,no
14.13646199,0.767123288,0.611111111,no
14.13646199,0.767123288,0.611111111,no
14.1170746,0.684931507,0.5,no
13.95434944,0.520547945,0.5,no
13.47559113,0.780821918,0.555555556,no
13.32351042,0.698630137,0.555555556,no
13.22054879,0.726027397,0.5,no
12.9360964,0.493150685,0.333333333,no
12.91372853,0.780821918,0.611111111,no
12.73156815,0.712328767,0.555555556,no
12.55217223,0.534246575,0.277777778,no
12.47429266,0.506849315,0.277777778,no
12.35610803,0.739726027,0.5,no
12.12042693,0.602739726,0.277777778,no
12.08824358,0.616438356,0.444444444,no
12.0715351,0.602739726,0.5,no
11.81357919,0.657534247,0.5,no
11.76873987,0.684931507,0.555555556,no
30.32934001,0.564705882,0.476190476,no
26.8668816,0.811764706,0.80952381,yes
26.04264621,0.470588235,0.428571429,no
25.45675938,0.752941176,0.666666667,yes
24.40214711,0.847058824,0.80952381,yes
23.57793523,0.529411765,0.428571429,yes
23.57793523,0.529411765,0.428571429,yes
22.40253744,0.788235294,0.714285714,yes
21.98256772,0.576470588,0.428571429,no
21.93152036,0.682352941,0.523809524,no
20.98506355,0.917647059,0.857142857,yes
20.82053432,0.6,0.523809524,no
20.12265485,0.564705882,0.523809524,yes
18.551514,0.658823529,0.571428571,yes
18.52934777,0.694117647,0.714285714,yes
17.85538052,0.811764706,0.666666667,yes
17.37004229,0.482352941,0.238095238,no
16.76342548,0.8,0.523809524,no
15.6877003,0.611764706,0.571428571,no
15.04035873,0.529411765,0.333333333,no
14.63899618,0.541176471,0.380952381,no
14.54167087,0.670588235,0.428571429,no
14.5248707,0.717647059,0.428571429,no
14.22644391,0.588235294,0.380952381,no
14.17353735,0.717647059,0.619047619,no
13.8893151,0.635294118,0.380952381,no
13.63983327,0.682352941,0.571428571,no
13.23057221,0.8,0.476190476,no
13.20035545,0.6,0.333333333,no
13.19586907,0.717647059,0.476190476,no
15.93862677,0.941176471,1,yes
15.48436061,0.588235294,0.416666667,no
15.15333765,0.490196078,0.5,no
15.15333765,0.62745098,0.5,no
15.15333765,0.450980392,0.333333333,no
14.19046412,0.803921569,0.666666667,yes
13.49341799,0.490196078,0.583333333,yes
13.31078228,0.745098039,0.5,no
13.07634382,0.529411765,0.583333333,no
